# Upyr boundary replay corpus v1.
# Spaces are materialized as U+2420 (␠); every decision snapshot ends at Space.
# Physical fields use English key legends and are intentionally not regenerated by the test.
# id	group	category	split	tags	mapping_profile	source_layout	physical_word	physical_context	observed_context	intended_context	expected_action	expected_direction
native-en-001	en-hello	native-english	evaluation	target-en,native	builtin-uk-v1	english	hello	hello␠	hello␠	hello␠	keep	-
native-en-002	en-world	native-english	evaluation	target-en,native	builtin-uk-v1	english	world	world␠	world␠	world␠	keep	-
native-en-003	en-keyboard	native-english	calibration	target-en,native	builtin-uk-v1	english	keyboard	keyboard␠	keyboard␠	keyboard␠	keep	-
native-en-004	en-configuration	native-english	evaluation	target-en,native	builtin-uk-v1	english	configuration	configuration␠	configuration␠	configuration␠	keep	-
native-en-005	en-language	native-english	evaluation	target-en,native	builtin-uk-v1	english	language	language␠	language␠	language␠	keep	-
native-en-006	en-settings	native-english	calibration	target-en,native	builtin-uk-v1	english	settings	settings␠	settings␠	settings␠	keep	-
native-en-007	en-accessibility	native-english	evaluation	target-en,native	builtin-uk-v1	english	accessibility	accessibility␠	accessibility␠	accessibility␠	keep	-
native-en-008	en-privacy	native-english	evaluation	target-en,native	builtin-uk-v1	english	privacy	privacy␠	privacy␠	privacy␠	keep	-
native-en-009	en-system	native-english	calibration	target-en,native	builtin-uk-v1	english	system	system␠	system␠	system␠	keep	-
native-en-010	en-application	native-english	evaluation	target-en,native	builtin-uk-v1	english	application	application␠	application␠	application␠	keep	-
native-en-011	en-restart	native-english	calibration	target-en,native	builtin-uk-v1	english	restart	restart␠	restart␠	restart␠	keep	-
native-en-012	en-switcher	native-english	evaluation	target-en,native	builtin-uk-v1	english	switcher	switcher␠	switcher␠	switcher␠	keep	-
native-en-013	en-correction	native-english	evaluation	target-en,native	builtin-uk-v1	english	correction	correction␠	correction␠	correction␠	keep	-
native-en-014	en-browser	native-english	evaluation	target-en,native	builtin-uk-v1	english	browser	browser␠	browser␠	browser␠	keep	-
native-en-015	en-website	native-english	evaluation	target-en,native	builtin-uk-v1	english	website	website␠	website␠	website␠	keep	-
native-en-016	en-service	native-english	calibration	target-en,native	builtin-uk-v1	english	service	service␠	service␠	service␠	keep	-
native-en-017	en-model	native-english	evaluation	target-en,native	builtin-uk-v1	english	model	model␠	model␠	model␠	keep	-
native-en-018	en-benchmark	native-english	calibration	target-en,native	builtin-uk-v1	english	benchmark	benchmark␠	benchmark␠	benchmark␠	keep	-
native-en-019	en-context	native-english	calibration	target-en,native	builtin-uk-v1	english	context	context␠	context␠	context␠	keep	-
native-en-020	en-corpus	native-english	evaluation	target-en,native	builtin-uk-v1	english	corpus	corpus␠	corpus␠	corpus␠	keep	-
wrong-uk-en-001	en-hello	wrong-ukrainian-to-english	evaluation	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	hello	hello␠	руддщ␠	hello␠	correct	ukrainian-to-english
wrong-uk-en-002	en-world	wrong-ukrainian-to-english	evaluation	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	world	world␠	цщкдв␠	world␠	correct	ukrainian-to-english
wrong-uk-en-003	en-keyboard	wrong-ukrainian-to-english	calibration	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	keyboard	keyboard␠	лунищфкв␠	keyboard␠	correct	ukrainian-to-english
wrong-uk-en-004	en-configuration	wrong-ukrainian-to-english	evaluation	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	configuration	configuration␠	сщташпгкфешщт␠	configuration␠	correct	ukrainian-to-english
wrong-uk-en-005	en-language	wrong-ukrainian-to-english	evaluation	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	language	language␠	дфтпгфпу␠	language␠	correct	ukrainian-to-english
wrong-uk-en-006	en-settings	wrong-ukrainian-to-english	calibration	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	settings	settings␠	іуеештпі␠	settings␠	correct	ukrainian-to-english
wrong-uk-en-007	en-accessibility	wrong-ukrainian-to-english	evaluation	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	accessibility	accessibility␠	фссуіішишдшен␠	accessibility␠	correct	ukrainian-to-english
wrong-uk-en-008	en-privacy	wrong-ukrainian-to-english	evaluation	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	privacy	privacy␠	зкшмфсн␠	privacy␠	correct	ukrainian-to-english
wrong-uk-en-009	en-system	wrong-ukrainian-to-english	calibration	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	system	system␠	ініеуь␠	system␠	correct	ukrainian-to-english
wrong-uk-en-010	en-application	wrong-ukrainian-to-english	evaluation	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	application	application␠	фзздшсфешщт␠	application␠	correct	ukrainian-to-english
wrong-uk-en-011	en-restart	wrong-ukrainian-to-english	calibration	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	restart	restart␠	куіефке␠	restart␠	correct	ukrainian-to-english
wrong-uk-en-012	en-switcher	wrong-ukrainian-to-english	evaluation	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	switcher	switcher␠	іцшесрук␠	switcher␠	correct	ukrainian-to-english
wrong-uk-en-013	en-correction	wrong-ukrainian-to-english	evaluation	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	correction	correction␠	сщккусешщт␠	correction␠	correct	ukrainian-to-english
wrong-uk-en-014	en-browser	wrong-ukrainian-to-english	evaluation	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	browser	browser␠	икщціук␠	browser␠	correct	ukrainian-to-english
wrong-uk-en-015	en-website	wrong-ukrainian-to-english	evaluation	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	website	website␠	цуиішеу␠	website␠	correct	ukrainian-to-english
wrong-uk-en-016	en-service	wrong-ukrainian-to-english	calibration	target-en,wrong-layout,single-word	builtin-uk-v1	ukrainian	service	service␠	іукмшсу␠	service␠	correct	ukrainian-to-english
